username,waktu,teks_bersih,Infrastruktur & Jalan,Lingkungan & Sampah,Air & Sanitasi,Bencana & Cuaca,Transportasi,Pelayanan Publik,Ekonomi & UMKM,Keamanan & Sosial,Pendidikan,Kesehatan,urgensi,sentimen,lokasi_insiden
@0n091,21h,"nama tidak boleh kosong ya rugi lah org lombok sendiri merantau cari duit di tempat atau negara org ngapain beli rumah subsidi pakek kpr lagi...
lombok tuh makanya org sana pada merantau atau jd TKI
mikir yg apple to apple 
jawa di samain lombok susah cari kerja",0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@0rang_Beruntung,Apr 1,"Ya..! : ngapain sih maksa mulu, gak ngaruh juga. Mama sama bapak dulu dua duanya kerja tapi kenyataannya tetep miskin sampe aku , sampe sekarang juga miskin tuh gak kaya. 1.0 putus sekolah",0,0,0,0,0,0,0,0,1,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@0tk0il,TRPCL,"aslina ini mah bener, belom lagi kalo ada 2.5K jalan berlubang atau perbaikan jalan ..pasti udah ada aja tuh yg ngatur jalan bari mawa2 kardus indomie Apr 3",1,0,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@0urdeas,Mar 28,"lova bahkan tempat wisata pantai pun ramai, alias anjrit org org knp liburan ke lampung sih nambah polusi udara",0,1,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@1_dreamchaser_1,Mar 28,pupuppp Bersepeda juga bantu kurangi polusi udara,0,1,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@4SHOrui,skai ⚝,kk lui boboknya nutup mata terus apa dy tim lampu mati iya?? Apr 1,1,0,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@4d_h1m,21h,tw「 Provinsi Pungli,0,0,0,0,0,1,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@4l_hanz,Mar 28,"4l hanz Evaluasi Gizi Nasional via Distribusi:

1. Berdayakan Dinkes, Dinas Perindagkop, Dinas Pertanian Peternakan, Dinsos s/d RT 

2. Gizi bukan hnya anak sekolah sj

3. Tp seluruh Anak /remaja WNI 

4. Banyak anak usia sekolah tp dini putus sekolah",0,0,0,0,0,0,0,0,1,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@4mericanooow,saul ✰,harus lampu mati Apr 3,1,0,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@501Awani,Astro AWANI,"gempa Pusat terletak di daerah Tusba, Van, pada kedalaman tujuh kilometer. 36m",0,0,0,1,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@5hizuuee,Mar 29,"shizu honest experience tinggal di 2 pulau berbeda, sangat shock di jawa guru bahasa inggrisnya gabisa bahasa inggris.. kayaknya pun emang bahasa inggris, di sma tuh guru bahasa inggris aku guru pai njir, and she's like ""SHE GABOLEH PAKE ARE HAARAAAMM HUKUMNYA"" 4.0 kekurangan guru 1.0",0,0,0,0,0,0,0,0,1,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@85cannabinoids,Apr 3,RJ . phk phk,0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@9597zip,17s,kay bener plis blm lagi dijalan pulang sumpaaah capek bgt macet,0,0,0,0,1,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@99tidaktersedia,Mar 28,"GK ゲカ Kacamata nya pasti merk ya. Ada merknya di batang frame nya pasti. Ya emang kak, banyak tau di toilet, kan ga ada cctv, orang takut maling maling",0,0,0,0,0,0,0,1,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@9belas_33,19h,ᮊᮄᮙᮔ᮪ Pungli Pungli,0,0,0,0,0,1,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AA_bachtiar,Apr 3,Aam Jujur kena dapat pesangon PHK,0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AAdaSaja45,Mar 30,"Mas Cie Sekolah mas, bantu bantu turunin data . putus sekolah",0,0,0,0,0,0,0,0,1,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AHarvena80638,Mar 29,"ayh btw kalo guru honorer disingkirin, indo bakal karna kuantitas yg direkrut pemerintah sebenernya sedikit bgt dibanding kebutuhannya. kekurangan guru",0,0,0,0,0,0,0,0,1,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@AKUNSANTUN,umay,Beli nasi campur dan tumpah ke jalan karena ngelewatin jalan rusak yg ngebuat itu nasi campur lepas dari cantolan. Yap lagi-lagi kalo yg pihak terkait beneran kerja Mar 30,1,0,0,0,0,0,0,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@ANTARABengkulu,41m,Antara Bengkulu Gubernur Bengkulu Helmi Hasan melarang pemerintah daerah memberhentikan Pegawai Pemerintah dengan Perjanjian Kerja (PPPK) dan mendorong upaya efisiensi anggaran tanpa pemutusan hubungan kerja.,0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
@ANTARABengkulu,42m,Antara Bengkulu Gubernur Bengkulu Helmi Hasan melarang pemerintah daerah memberhentikan Pegawai Pemerintah dengan Perjanjian Kerja (PPPK) dan mendorong upaya efisiensi anggaran tanpa pemutusan hubungan kerja.,0,0,0,0,0,0,1,0,0,0,Belum Dilabeli,Belum Dilabeli,Tidak diketahui
